,GEOID,coefs,pvals,notes
219,48439,0.1410555566915948,7.744348632487906e-07,significant
220,48441,-0.08988637711757734,0.0017151785304127872,significant
221,48443,,,no access
222,48445,,,no access
223,48447,,,no access
224,48449,,,no access
225,48451,,,no access
226,48453,-0.1695188065970298,2.8961034506383926e-09,significant
227,48455,,,no access
228,48457,,,no access
229,48459,-0.22237237315557043,4.0965056463162384e-14,significant
230,48461,,,no access
231,48463,,,no access
232,48465,,,no access
233,48467,0.010003532342711959,0.7300467846237353,not significant
234,48469,-0.07220464597975067,0.01185316460526107,significant
235,48471,-0.1021858796723674,0.0004785412738829471,significant
236,48473,-0.06882704968315845,0.022695774241826026,significant
237,48475,,,no access
238,48477,-0.22368220031616054,8.641615802602232e-14,significant
239,48479,,,no access
240,48481,-0.06969948329476325,0.01744992996919527,significant
241,48483,,,no access
242,48485,-0.07798253848746178,0.0067485998567996764,significant
243,48487,,,no access
244,48489,-0.19933903704580982,3.4292975138968324e-11,significant
245,48491,,,no access
246,48493,,,no access
247,48495,,,no access
248,48497,-0.130287651168628,9.668868446583057e-06,significant
249,48499,-0.17452846644121614,2.051344374411221e-09,significant
250,48501,,,no access
251,48503,,,no access
252,48505,,,no access
253,48507,,,no access
