HC_ID,01/18/2021
H000,4.39981689927106e-06
H001,0.0
H002,8.029659835920437e-06
H003,0.0
H004,0.0
H005,1.3458553442607947e-05
H006,4.014593927557787e-06
H007,0.0
H008,0.0
H009,0.0
H010,6.964218383598406e-06
H011,1.0689734375844209e-05
H012,3.0180190122503995e-05
H013,7.573663938560365e-06
H014,2.5313855925096134e-06
H015,1.121171157839535e-05
H016,0.0
H017,3.580459323647947e-05
H018,3.7910145641629006e-06
H019,3.4769973756540253e-06
H020,2.2000402535957972e-05
H021,1.8876738641481492e-05
H022,8.819948183432443e-06
H023,5.293016022657177e-05
H024,0.0
H025,9.145489422979643e-06
H026,4.9753939425525736e-05
H027,2.051732116994501e-06
H028,3.048496474326548e-06
H029,4.054035719757104e-06
H030,1.2217117985647362e-05
H031,0.0
H032,1.0978474891499604e-05
H033,2.125268590110741e-05
H034,1.9530543735983163e-05
H035,5.993036940267069e-05
H036,0.0
H037,3.587916679083069e-05
H038,3.213878702546334e-05
H039,3.213878702546334e-05
H040,1.6617637206919903e-05
H041,0.00012648704495414316
H042,0.0
H043,6.917260270929703e-06
H044,1.488921026661393e-05
H045,0.0
H046,7.16199808498438e-05
H047,1.8108457373922546e-05
H048,2.0012694555285285e-05
H049,0.0
H050,1.2816772415708764e-05
H051,4.0388196291870225e-06
H052,1.5885125843903377e-05
H053,0.0
H054,3.8771536376793924e-05
H055,0.0
H056,4.165223107659608e-05
H057,0.0
H058,1.8669396273567459e-06
H059,1.6614407040009686e-05
H060,7.4677585094269834e-06
H061,5.4549657244950964e-05
H062,4.040867492858181e-06
H063,1.254211087400081e-05
H064,0.0
H065,1.1129249898059187e-05
H066,1.5508660013730282e-05
H067,5.4238450503664685e-05
H068,1.0871321777124793e-05
H069,0.0
H070,0.0
H071,2.000500270490509e-05
H072,2.5534401526658903e-05
H073,6.551074687343496e-06
H074,3.1136975828691765e-05
H075,6.227395165738353e-05
H076,1.2284968512998855e-06
H077,0.0
H078,0.0
H079,5.112112646388841e-05
H080,1.1566045290251877e-06
H081,0.0
H082,3.069782027449396e-05
H083,1.8209852963416235e-05
H084,3.548636378910775e-06
H085,0.0
H086,3.165344470548657e-05
H087,2.32482707759272e-05
H088,0.0
H089,1.3874571744422523e-06
H090,0.0004487151287511098
H091,1.4630452634528168e-05
H092,6.641377437161474e-05
H093,0.0
H094,0.0
H095,6.329915798463281e-05
H096,0.0
H097,1.0531834641135678e-05
H098,1.8068468086493024e-06
H099,2.3508016468073598e-05
H100,0.00010292134341164001
H101,1.9921334508525786e-05
H102,2.362839062438719e-05
H103,2.325560858546335e-05
H104,0.0
H105,7.992449225542475e-05
H106,0.0
H107,0.0
H108,4.422291566016824e-05
H109,0.0012082675623783208
H110,0.0040052649891009345
H111,0.0018809470478235197
H112,0.00038378127172824595
H113,0.0002702900692301727
H114,0.005649019341984575
H115,0.008179132214755136
H116,0.0
H117,0.0010308828262695006
H118,0.0
H119,0.0002060340510082861
H120,0.0013598247366546881
H121,0.001023980757898998
H122,0.0
H123,0.0
H124,0.0009472420625392478
H125,0.00048421948271945103
H126,0.003345713527024457
H127,0.00035619065559338626
H128,0.002144504808346357
H129,0.0001814209675323057
H130,9.106853545466484e-05
H131,0.0
H132,0.00011990134443496695
H133,0.004117326468920701
H134,0.001783972847401006
H135,0.00023868559240120007
H136,0.00013010180966309848
H137,0.0
H138,0.0004856939595967372
H139,0.000470125228134007
H140,0.00036976563215987917
H141,0.0002698086608261319
H142,0.0
H143,0.0007633385360355092
H144,0.000684904444642583
H145,0.0009591919361446687
H146,0.000666726450074694
H147,0.0026838634551199104
H148,0.004000358700448164
H149,0.0
H150,0.006266130397065679
H151,0.002304344413221504
H152,0.0029588299837963283
H153,0.0
H154,0.0019942646795610463
H155,0.0012644253312500183
H156,0.001256937744180065
H157,0.0
H158,1.6550935691375034e-05
H159,0.0
H160,8.499102403185972e-06
H161,1.877907207245748e-05
H162,4.8423313565271296e-05
H163,2.179155447888751e-06
H164,0.0
H165,4.301798194829689e-06
H166,4.303923168403231e-06
H167,1.2476958751704933e-05
H168,0.0
H169,0.0
H170,1.841493344626256e-05
H171,4.1533259868167875e-05
H172,4.816076933633742e-06
H173,1.1453800306783398e-06
H174,1.612565447889005e-05
H175,2.267363426306679e-05
H176,4.262761163062675e-06
H177,5.311671241888169e-06
H178,2.891734295418494e-05
H179,4.235021561270075e-05
H180,6.3940733239621e-06
H181,3.526644266099469e-06
H182,1.1180692841452909e-05
H183,0.0001598191276769359
H184,5.1751086566056535e-05
H185,4.8452844882646114e-05
H186,2.307278327745053e-06
H187,8.207009864075467e-05
H188,0.0
H189,4.7943707122345126e-05
H190,1.2337574431259538e-05
H191,4.841768859499439e-06
H192,0.0
H193,3.0569793412689305e-06
H194,9.496305721349084e-05
H195,2.609887868275523e-05
H196,0.0
H197,0.0
H198,0.0
H199,1.091039599309219e-05
H200,7.861515138079447e-06
H201,2.1131146149204323e-05
H202,1.6253269990079225e-05
H203,0.0
H204,4.494969351168035e-06
H205,2.5432996636894936e-05
H206,2.8795306912996975e-05
H207,8.463743429862522e-05
H208,8.111820243637546e-05
H209,0.0
H210,6.979235564020233e-05
H211,8.781298482438699e-05
H212,4.355996726490761e-05
H213,8.951218994976995e-05
H214,0.0011111154192629954
H215,0.0
H216,0.0008900282621355803
H217,0.0004475764489355526
H218,0.0
H219,0.0
H220,0.0005735006660806442
H221,0.0006320432185197237
H222,0.0006607916024110148
H223,0.0024644826125094377
H224,0.003395495287110714
H225,0.0028389001573415062
H226,0.00345105335200562
H227,0.0002340273588663624
H228,0.00011433469052614753
H229,0.000170364657998878
H230,0.00014644076914003127
H231,0.0007608341397870443
H232,0.00044781872036478204
H233,7.365719336460822e-05
H234,1.8845514164536675e-05
H235,0.0
H236,0.0012564710617522538
H237,0.0
H238,0.0
H239,0.00016851246085576124
H240,0.00018096991209848187
H241,0.00022251810596570832
H242,0.0017539041950995675
H243,0.0001569875028438409
H244,0.00010439285515473594
H245,1.3344920689623974e-05
H246,0.00016212944572912267
H247,4.882358000742185e-05
H248,0.0
H249,0.00013363703593376175
H250,0.0003779214275404221
H251,0.0
H252,0.0005961052279138111
H253,0.00022187031605055247
H254,9.631667385148265e-05
H255,0.0
H256,0.00039363911904768267
H257,0.0
H258,0.00040761898352459434
H259,0.0005657965107867549
H260,0.001110021326130428
H261,0.00010554967314686483
H262,0.0004772495319306345
H263,0.0
H264,0.00036881299584933295
H265,0.0
H266,0.0009207495470991329
H267,0.0002886006396768939
H268,0.0038962306336024354
H269,0.003220451900971307
H270,0.03544017076206724
H271,0.00010598982222234613
H272,0.013020341876454799
H273,0.024830107055583722
H274,0.0
H275,0.01770989419050582
H276,0.013008700500477218
H277,0.09716728436556604
H278,0.011979924554866224
H279,0.04308843728272438
H280,4.668489767605116e-05
H281,3.1524498106090505e-05
H282,2.758393584282919e-05
H283,0.0
H284,6.409401471669635e-05
H285,2.7362561822444355e-06
H286,0.0
H287,0.0001234172328193987
H288,0.0
H289,4.117170158230093e-06
H290,0.00029785351826009564
H291,7.748963004759423e-05
H292,0.00011673362634998138
H293,4.168542887379055e-06
H294,1.8599412944226915e-05
H295,6.216162805719039e-05
H296,0.00030528600694902815
H297,0.0005220525186380356
H298,1.8379331203026608e-05
H299,3.122114402455306e-05
H300,7.554365751957486e-05
H301,0.0
H302,8.371049100558737e-06
H303,0.0
H304,6.972995630583448e-05
H305,5.339583939894327e-05
H306,0.0
H307,0.0
H308,5.5740506226508776e-05
H309,7.993919311989873e-05
H310,3.218327884298951e-05
H311,0.0
H312,4.05287481363478e-06
H313,0.0003293343684574583
H314,0.0
H315,0.0
H316,0.0
H317,6.070552330448647e-05
H318,3.258974058587845e-05
H319,0.0001011168092500327
H320,0.0
H321,7.836937619386426e-06
H322,0.0
H323,0.0
H324,3.506527987452434e-05
H325,6.450746220696543e-05
H326,0.0
H327,9.730858515685472e-05
H328,7.036970173712825e-05
H329,0.0
H330,0.0
H331,7.65648177556656e-06
H332,6.808688572949647e-05
H333,6.177696725730646e-06
H334,5.910721928782696e-06
H335,0.0
H336,0.00011382125147721672
H337,0.0
H338,0.0
H339,2.438524460846367e-05
H340,0.00010290232736549239
H341,1.6126756163366583e-05
H342,6.588199195867854e-05
H343,1.0993023650414448e-05
H344,0.0
H345,2.2165091249533475e-05
H346,8.425958521904975e-06
H347,9.865097997651348e-05
H348,0.0
H349,0.0
H350,1.2888334928708358e-05
H351,0.0002821532391810997
H352,4.593192265738833e-05
H353,7.175169598820955e-05
H354,0.0
H355,2.9167772118000135e-05
H356,5.312610693399036e-06
H357,0.00018736584841985872
H358,6.947165982045607e-06
H359,0.00011448742344543712
H360,0.00014476989249030827
H361,6.0217198428421294e-05
H362,1.9891441142497863e-05
H363,3.493462250011202e-05
H364,0.0
H365,4.970359440254581e-06
H366,0.0
H367,0.00017179874901499797
H368,0.0
H369,6.354230531313115e-05
H370,3.5023391343346096e-06
H371,2.0972127553682516e-05
H372,6.7033609381744825e-06
H373,2.9234356132508396e-05
H374,0.0001276236607205152
H375,0.0006779332815905912
H376,5.685349756188157e-06
H377,7.071727301532069e-05
H378,2.4873736665297696e-05
H379,4.097941189856146e-05
H380,0.0
H381,2.662641101708433e-06
H382,4.721265614883009e-05
H383,4.1203024970724014e-05
H384,0.0
H385,0.00012901545249173528
H386,0.0
H387,0.0007912979174435375
H388,0.0012796500556154853
H389,0.00010336279951282815
H390,0.0001517494378831281
H391,0.00021790662816654143
H392,0.00018615000279847597
H393,0.00038058826188197786
H394,8.018051728620916e-05
H395,8.836117910269753e-05
H396,1.6983118516009923e-05
H397,2.159962278453261e-06
H398,3.0100193573251723e-05
H399,0.00012396705575106617
H400,0.0002674542920948912
H401,0.0
H402,0.00018441427766081663
H403,0.0006194898498206588
H404,0.0
H405,0.0005611725916050608
H406,0.00013148032595908593
H407,0.0
H408,0.0008546221187340587
H409,0.0009538950369424758
H410,0.0
H411,9.351069444312534e-05
H412,0.0
H413,0.0
H414,0.0
H415,0.0
H416,0.0
H417,0.0
H418,0.0
H419,0.0
H420,0.0
H421,0.0
H422,0.0
H423,0.0036857864943275662
H424,0.005361143991749187
H425,0.0006522525897253302
H426,0.0034243260960579833
H427,0.0
H428,0.0006796029541980619
H429,0.0031223543419660986
H430,0.0012400513517782806
H431,0.0024292935088855053
H432,0.001479540530862743
H433,0.0023873322187773307
H434,0.00013952987205514717
H435,0.0
