HC_ID,09/25/2021
H000,7.106544348997085e-06
H001,0.0
H002,1.2849432224494761e-05
H003,0.0
H004,0.0
H005,2.174016754425874e-05
H006,6.430577870183959e-06
H007,0.0
H008,0.0
H009,0.0
H010,1.147832679140406e-05
H011,1.7660755910170596e-05
H012,5.086187453407501e-05
H013,1.276114181875107e-05
H014,4.261887138789977e-06
H015,1.8803678319933293e-05
H016,0.0
H017,5.9705245360832426e-05
H018,6.336255035299687e-06
H019,5.814575450836076e-06
H020,3.7205011231369744e-05
H021,3.1393453011055875e-05
H022,1.4772007669860424e-05
H023,8.821895159723167e-05
H024,0.0
H025,1.5312181563056136e-05
H026,8.347099614224001e-05
H027,3.4429250614204814e-06
H028,5.104060521018711e-06
H029,6.786812541214777e-06
H030,1.9905628785717616e-05
H031,0.0
H032,1.8118998900862516e-05
H033,3.516405572426796e-05
H034,3.233294943394244e-05
H035,9.919366855605722e-05
H036,0.0
H037,5.9093021324485456e-05
H038,5.354198459520676e-05
H039,5.354198459520676e-05
H040,2.783303755488158e-05
H041,0.00021182498674933464
H042,0.0
H043,1.1584178962854237e-05
H044,2.4381460627106952e-05
H045,0.0
H046,0.00011832778787320745
H047,2.821398516955396e-05
H048,3.109508785818553e-05
H049,0.0
H050,1.9227290357869188e-05
H051,6.219933639362201e-06
H052,2.410841402818474e-05
H053,0.0
H054,6.114494045647303e-05
H055,0.0
H056,6.035787746336211e-05
H057,0.0
H058,2.738148488366976e-06
H059,2.4369703084456198e-05
H060,1.0952593953467904e-05
H061,7.996330570419871e-05
H062,5.870117388071259e-06
H063,1.864831430879851e-05
H064,0.0
H065,1.797257400052158e-05
H066,2.434823688576967e-05
H067,8.346353181249234e-05
H068,1.691524360244039e-05
H069,0.0
H070,0.0
H071,3.1261288005585415e-05
H072,4.0578562133941944e-05
H073,1.0279559387125782e-05
H074,4.8869366858347997e-05
H075,9.773873371669599e-05
H076,1.971893337897396e-06
H077,0.0
H078,0.0
H079,8.257456770773754e-05
H080,1.8750735597022928e-06
H081,0.0
H082,5.052708414181282e-05
H083,2.921105788703207e-05
H084,5.639000300120159e-06
H085,0.0
H086,5.005666962011102e-05
H087,3.7402486689442117e-05
H088,0.0
H089,2.2811117941669424e-06
H090,0.0006291494249479839
H091,2.0818306325283888e-05
H092,9.359687131269562e-05
H093,0.0
H094,0.0
H095,9.188613047514162e-05
H096,0.0
H097,1.7353036524419053e-05
H098,2.975337927183395e-06
H099,3.900490656004748e-05
H100,0.00015773825805294185
H101,3.203663469666962e-05
H102,3.799688026863571e-05
H103,3.7538325345880606e-05
H104,0.0
H105,0.00012535085613587962
H106,0.0
H107,0.0
H108,6.698040052516903e-05
H109,0.0005849088814667474
H110,0.0023902128137031154
H111,0.000697266583307828
H112,0.0002053626795609513
H113,0.00013241142459898908
H114,0.0019005477472925378
H115,0.002769908614861837
H116,0.0
H117,0.0003489464933316955
H118,0.0
H119,0.00012083466023502343
H120,0.0007975087575511548
H121,0.0006045272720961109
H122,0.0
H123,0.0
H124,0.0006194014251156648
H125,0.0002461917128373446
H126,0.0022163921313064663
H127,0.0002331583983694044
H128,0.0009725120595358034
H129,8.227432132948166e-05
H130,4.127654532969693e-05
H131,0.0
H132,5.445208652365383e-05
H133,0.0018716461217798755
H134,0.0008090308264065697
H135,0.00010850122445100727
H136,5.9242663938058686e-05
H137,0.0
H138,0.00022939407201455343
H139,0.0003047032207865572
H140,0.0001946496354265203
H141,0.00014338176876393078
H142,0.0
H143,0.0008852819687525785
H144,0.0006450626857770936
H145,0.0008389646614656473
H146,0.0003259705475609818
H147,0.001317869905329944
H148,0.001955823285365891
H149,0.0
H150,0.0024279354218961157
H151,0.0007770654683392631
H152,0.001372383769723611
H153,0.0
H154,0.0009243030076043838
H155,0.0005503710233925394
H156,0.000501244331107284
H157,0.0
H158,2.573427426820268e-05
H159,0.0
H160,1.3197634834404223e-05
H161,2.9186047169283038e-05
H162,7.521518127460778e-05
H163,3.383536265325449e-06
H164,0.0
H165,6.676904995733901e-06
H166,6.676820452237242e-06
H167,1.866275678118818e-05
H168,0.0
H169,0.0
H170,2.8366430054757684e-05
H171,6.293627565270937e-05
H172,7.3255859472534904e-06
H173,1.7410006519371785e-06
H174,2.479986356349879e-05
H175,3.475810469341457e-05
H176,6.499789348523113e-06
H177,8.172145698791359e-06
H178,4.493941837196794e-05
H179,6.49560312321171e-05
H180,9.808510627060964e-06
H181,5.3959212140907e-06
H182,1.7085388469177443e-05
H183,0.00024004595164912618
H184,7.77300048028607e-05
H185,7.276566966155796e-05
H186,3.4650318886456173e-06
H187,0.0001234731762191439
H188,0.0
H189,7.20048784654082e-05
H190,1.85338572298782e-05
H191,7.271223593137589e-06
H192,0.0
H193,4.608419591936331e-06
H194,0.00014224892347007112
H195,3.9274622102223445e-05
H196,0.0
H197,0.0
H198,0.0
H199,1.6227323884681216e-05
H200,1.1724767479775497e-05
H201,3.210044228209623e-05
H202,2.414775259003047e-05
H203,0.0
H204,6.909043524116156e-06
H205,3.956282634219146e-05
H206,4.238065140816263e-05
H207,0.00012370809903301637
H208,0.00011077045701713641
H209,0.0
H210,0.00010249962026664823
H211,0.00012290264527440534
H212,5.971869652811712e-05
H213,0.0001050260268038154
H214,0.0009266296195405052
H215,0.0
H216,0.0006655358853130296
H217,0.0003348396361394061
H218,0.0
H219,0.0
H220,0.00042885729351488123
H221,0.0004744522054817327
H222,0.0005094832110553813
H223,0.0022483086635548682
H224,0.004566071775577461
H225,0.002173382342851966
H226,0.002699533245390097
H227,0.00023456460605372265
H228,5.1641469183857634e-05
H229,4.681996649639711e-05
H230,6.230267951704311e-05
H231,0.000675102539498442
H232,0.0003025264196988717
H233,4.429227005583536e-05
H234,1.1257068097043655e-05
H235,0.0
H236,0.0007561726865080505
H237,0.0
H238,0.0
H239,0.00010586905520292781
H240,0.0001119857768905233
H241,0.00011088628427458077
H242,0.0006503602709666714
H243,8.95396040938277e-05
H244,3.2810755143617693e-05
H245,4.204319486036577e-06
H246,5.1072127821591536e-05
H247,1.5251641678305568e-05
H248,0.0
H249,4.1786813297842026e-05
H250,0.00011810136935261643
H251,0.0
H252,0.0001869833233075066
H253,7.027990025465817e-05
H254,3.080929601159377e-05
H255,0.0
H256,0.00012487600842322637
H257,0.0
H258,3.6827524543093285e-05
H259,5.486459298149848e-05
H260,0.00011564481344993426
H261,1.574699331744383e-05
H262,4.345638137891019e-05
H263,0.0
H264,3.370544445552603e-05
H265,0.0
H266,8.320775727548966e-05
H267,8.769704082547767e-05
H268,0.0031496932632387796
H269,0.002909928926447397
H270,0.014574446639729332
H271,6.380368138144848e-05
H272,0.006868245786617835
H273,0.014839107464880876
H274,0.0
H275,0.00878872134865947
H276,0.006424863538912514
H277,0.10084975591473881
H278,0.0054301920292916216
H279,0.03705354400714927
H280,5.209484876108388e-05
H281,3.5156738278169495e-05
H282,3.076214599339831e-05
H283,0.0
H284,7.179788767409289e-05
H285,3.056434334801096e-06
H286,0.0
H287,0.0001384560061349414
H288,0.0
H289,4.587145961706751e-06
H290,0.0003319551027425766
H291,8.640144056760363e-05
H292,0.00013005686264506397
H293,4.642185383002778e-06
H294,2.0726743576860134e-05
H295,6.928326468773662e-05
H296,0.0003401587113466652
H297,0.0005818265023376281
H298,2.0492233868685366e-05
H299,3.4803146897868095e-05
H300,8.422410150577855e-05
H301,0.0
H302,9.320902672177254e-06
H303,0.0
H304,7.826127247391426e-05
H305,5.8422437112429474e-05
H306,0.0
H307,0.0
H308,6.24511505723015e-05
H309,8.928660098343963e-05
H310,3.586063710941087e-05
H311,0.0
H312,4.5172720384192e-06
H313,0.00036648092834153556
H314,0.0
H315,0.0
H316,0.0
H317,6.768453871588985e-05
H318,3.636694611128309e-05
H319,0.00011192874867883494
H320,0.0
H321,8.677731769304308e-06
H322,0.0
H323,0.0
H324,3.9263233620518276e-05
H325,7.208727077946331e-05
H326,0.0
H327,0.00010761015604150522
H328,7.798953977699303e-05
H329,0.0
H330,0.0
H331,8.409660715465307e-06
H332,7.482123515489897e-05
H333,6.7874248787624485e-06
H334,6.5992917503622425e-06
H335,0.0
H336,0.0001193681545583645
H337,0.0
H338,0.0
H339,2.71990913764708e-05
H340,0.00011411941299148778
H341,1.787835065355119e-05
H342,7.317873287327756e-05
H343,1.2168462122992794e-05
H344,0.0
H345,2.4502869117811252e-05
H346,9.307299806573472e-06
H347,0.00010902340253441927
H348,0.0
H349,0.0
H350,1.407756087844618e-05
