,HC_ID,GEOID,dist,trvl_time
179125,H124,48183001400,0,38.31598246091473
179126,H124,48183000600,0,47.15541817053578
179127,H124,48183010301,0,49.12967743594635
179128,H124,48183001200,0,41.00352039315515
179129,H124,48183000200,0,45.51337737128555
179130,H124,48183010400,0,48.23063682367021
179131,H124,48183010600,0,43.23240540208617
179132,H124,48183000900,0,45.52723760136386
179133,H124,48183010200,0,52.51612092571649
179134,H124,48203020200,0,42.80088769149945
179135,H124,48203020102,0,47.73756076670621
179136,H124,48203020401,0,29.621035849720844
179137,H124,48203020402,0,26.43705325060844
179148,H124,48067950500,0,71.88827295930716
179149,H124,48067950100,0,70.90891350422444
179150,H124,48067950700,0,67.53244393952144
179151,H124,48067950200,0,73.12257519495412
179152,H124,48067950300,0,68.0344324763272
179153,H124,48067950600,0,55.4692524166259
179154,H124,48067950400,0,65.61801537877696
179166,H124,48005000400,0,66.5320858594153
179167,H124,48005001100,0,73.80106217040993
179168,H124,48005000700,0,65.3705474582976
179169,H124,48005000500,0,62.80357060035404
179170,H124,48005000200,0,66.43915631892435
179173,H124,48005000800,0,68.20058360374443
179174,H124,48005000600,0,65.40832142532281
179176,H124,48419950300,0,26.523269884098067
179177,H124,48419950200,0,30.31233253452887
179178,H124,48419950600,0,48.750425229619424
179179,H124,48419950500,0,38.13411143492533
179180,H124,48419950100,0,31.580677329307417
179181,H124,48419950400,0,27.485742574100136
179201,H124,48183001300,0,40.7163596724934
179202,H124,48183001500,0,39.42147441334826
179203,H124,48183010302,0,47.94586392556609
179204,H124,48183010500,0,33.759884525193556
179205,H124,48183010100,0,49.17381636719689
179206,H124,48183010700,0,47.0736824601392
179215,H124,48403950200,0,64.33648682658782
179216,H124,48403950100,0,65.89305260697809
179217,H124,48005000101,0,66.03706322620496
179220,H124,48005000302,0,73.95955979691814
179221,H124,48005000901,0,68.12005975728974
179228,H124,48347951100,0,69.60375339788074
179229,H124,48347950301,0,55.71300972227628
179230,H124,48347950302,0,59.01629217439523
179231,H124,48347950600,0,46.73131958402041
179232,H124,48347950800,0,48.770142443494606
179233,H124,48347950900,0,50.14555931848732
179234,H124,48347950100,0,35.465954727388386
179235,H124,48347950700,0,45.99249506739404
179236,H124,48347951000,0,48.32529527206796
179237,H124,48347950200,0,53.375710094174494
179238,H124,48347950400,0,47.48370830296467
179242,H124,48347950502,0,46.36077344936409
179243,H124,48347950501,0,46.36267478096342
179244,H124,48203020302,0,29.87923423867418
179245,H124,48203020104,0,37.204392903456984
179246,H124,48203020103,0,26.23556382104942
179247,H124,48203020604,0,28.015860182129472
179248,H124,48203020606,0,47.027624880512505
179249,H124,48203020501,0,24.544323462045714
179250,H124,48203020502,0,21.60837449886499
179251,H124,48203020605,0,41.95442487316824
179252,H124,48203020603,0,36.54239252916879
179253,H124,48203020301,0,28.335705911868743
179254,H124,48073950802,0,73.76319125514355
179255,H124,48073950801,0,63.67133023921639
179258,H124,48499950601,0,74.87460159395671
179268,H124,48401950502,0,36.66837803496508
179269,H124,48401950501,0,32.64907945519433
179276,H124,48423001403,0,73.69591477011625
179277,H124,48423002102,0,62.530095048466144
179278,H124,48423002101,0,58.498147374416746
179282,H124,48315950300,0,60.9931813449729
179283,H124,48315950400,0,39.950897559396374
179284,H124,48315950200,0,51.37547985406188
179285,H124,48315950100,0,53.604247363245484
179290,H124,48365950200,0,11.654314861616754
179291,H124,48365950500,0,14.363152663272377
179292,H124,48365950100,0,19.77551911230648
179293,H124,48365950600,0,17.127566633608556
179294,H124,48365950300,0,1.233733037500619
179295,H124,48365950400,0,2.7791241751883944
179298,H124,48405950300,0,73.34824018811905
179299,H124,48405950200,0,45.14631130177761
179300,H124,48405950100,0,48.25889547972173
179302,H124,48183000402,0,44.88638362776346
179303,H124,48183980000,0,36.978958971742294
179304,H124,48183000401,0,45.501285918422
179305,H124,48401950400,0,45.36910948847343
179306,H124,48401950200,0,42.619346881008774
179307,H124,48401950700,0,33.040083604231484
179308,H124,48401950100,0,24.98636451581254
179309,H124,48401950900,0,34.27210325518599
179310,H124,48401951100,0,39.42444301722283
179311,H124,48401950600,0,25.728346210168446
179312,H124,48401951000,0,46.68571656360363
179313,H124,48401951200,0,30.919054995368114
179314,H124,48401950300,0,44.757073264502935
179315,H124,48401950800,0,36.11748267207183
179316,H124,48183000502,0,44.00620012384372
179317,H124,48183000700,0,47.111640513319365
179318,H124,48183000800,0,47.853423931967775
179319,H124,48183001000,0,42.31110967968493
179320,H124,48183001100,0,41.337780402872404
179329,H124,48005000902,0,69.67786503516986
179330,H124,48005000301,0,67.76833153564866
179334,H124,48183000300,0,43.65531803006502
179335,H124,48183000501,0,46.07554238235989
179347,H124,48423000300,0,67.23071048676053
179348,H124,48423000500,0,69.92124641034509
179349,H124,48423000600,0,68.8516586868342
179352,H124,48423000100,0,70.81037118092004
179353,H124,48423001802,0,66.64425446078758
179354,H124,48423001700,0,64.51760543200658
179355,H124,48423000201,0,69.77242654926685
179356,H124,48423002007,0,73.94185439317988
179357,H124,48423002009,0,70.11776431433844
179358,H124,48423001801,0,58.65615254626256
179359,H124,48423000202,0,69.64385143808519
179361,H124,48423001500,0,64.23967762687853
179363,H124,48423001601,0,72.52308988236676
179364,H124,48423000400,0,71.0521423354526
179365,H124,48423002200,0,67.7833828900106
179366,H124,48423000700,0,72.97710916269766
179367,H124,48423000900,0,69.87889808720016
179368,H124,48423001000,0,73.56511701301429
179369,H124,48423001101,0,72.50578030504963
179370,H124,48423001102,0,72.17702607106035
179371,H124,48423001200,0,70.87396581445289
179372,H124,48423001803,0,69.80158605819399
179373,H124,48423001901,0,73.6807474948945
179374,H124,48423002003,0,71.73180767058805
179375,H124,48423002004,0,72.81765381239056
179376,H124,48423002006,0,74.52668733543484
179377,H124,48423001300,0,69.84506904396164
179378,H124,48423000800,0,71.34703371411322
179389,H124,48073950100,0,59.54872117904227
179390,H124,48073950700,0,72.30387166296474
179391,H124,48073951000,0,71.48387099996243
179393,H124,48073950400,0,72.52440406836301
179394,H124,48073950600,0,69.35194155763614
179395,H124,48073950900,0,60.753229726127856
179397,H124,48073950300,0,74.02358439849104
179398,H124,48073951100,0,74.94252705464817
179408,H124,48459950100,0,62.268365084448625
179409,H124,48459950200,0,74.74178892876462
179410,H124,48459950400,0,64.56458170076432
179411,H124,48459950600,0,57.65353749728359
179412,H124,48459950300,0,67.81908584248536
179413,H124,48459950500,0,67.90817648577156
179414,H124,48459950700,0,55.30865264620488
