,HC_ID,GEOID,dist,trvl_time
638120,H600,48275950200,0,49.8368733306995
638121,H600,48275950100,0,68.18111930586984
638123,H600,48133950400,0,73.2504847156472
638124,H600,48133950200,0,70.41781063586197
638126,H600,48133950300,0,59.15730338557783
638129,H600,48399950600,0,72.16352063800915
638130,H600,48399950100,0,61.69055312268736
638131,H600,48399950200,0,57.41171668977965
638134,H600,48083950300,0,67.60707927884164
638135,H600,48083950600,0,71.61354391695569
638136,H600,48151950400,0,40.02508486001462
638137,H600,48151950300,0,39.49025998847939
638139,H600,48441013300,0,24.507154309201166
638140,H600,48441013402,0,31.21083334249969
638141,H600,48441013500,0,50.67352557907776
638142,H600,48441011700,0,23.02677997475414
638147,H600,48023950300,0,66.78125837125377
638153,H600,48441980000,0,28.713134990895664
638158,H600,48417950300,0,44.31114994264295
638181,H600,48059030200,0,52.79690567817967
638190,H600,48429950500,0,73.09489848883327
638193,H600,48353950100,0,50.428041696276
638194,H600,48353950500,0,71.67929363138872
638195,H600,48353950200,0,50.01696501263744
638196,H600,48353950400,0,50.09675131271024
638197,H600,48353950300,0,52.53253761207511
638198,H600,48415950600,0,72.80187551422092
638199,H600,48415950300,0,67.61151760766231
638202,H600,48207950300,0,37.512254420832065
638203,H600,48207950400,0,34.98734201818951
638207,H600,48429950300,0,71.7389676207472
638208,H600,48429950200,0,65.24838231797938
638209,H600,48447950300,0,58.899154265929035
638215,H600,48253020200,0,1.4388124706927585
638216,H600,48253020400,0,15.939944478754828
638217,H600,48253020101,0,23.617139210098863
638218,H600,48253020102,0,33.089902913450395
638219,H600,48253020300,0,19.39465145322783
638220,H600,48253020500,0,4.894806841127443
638221,H600,48335950200,0,73.02466826683958
638230,H600,48441013404,0,32.04470729134121
638231,H600,48433950300,0,46.68037377237116
638251,H600,48059030102,0,45.233796522226434
638252,H600,48059030101,0,33.81874469099176
638255,H600,48441012802,0,25.308306911886934
638256,H600,48441012801,0,26.105574073443503
638257,H600,48441012900,0,26.609344567266014
638258,H600,48441011000,0,22.76908214463978
638259,H600,48441013600,0,41.593188121390966
638260,H600,48441010100,0,23.310291228713922
638261,H600,48441013401,0,24.44984202993148
638262,H600,48441013200,0,25.402791765142624
638263,H600,48441010200,0,20.210745131251553
638264,H600,48441010300,0,20.338965668207717
638265,H600,48441010400,0,21.034894693556275
638266,H600,48441010500,0,20.548108706329476
638267,H600,48441010600,0,21.629859883672054
638268,H600,48441010700,0,22.259012416603433
638269,H600,48441010800,0,21.70349808370622
638270,H600,48441010900,0,24.350806110326655
638271,H600,48441011200,0,22.59672675450529
638272,H600,48441011300,0,22.093644813229286
638273,H600,48441011400,0,22.49062332129959
638274,H600,48441011500,0,23.50758031525831
638275,H600,48441011600,0,24.36124296773279
638276,H600,48441011900,0,24.447200124647964
638277,H600,48441012000,0,26.856631175201347
638278,H600,48441012100,0,26.64645648596612
638279,H600,48441012200,0,27.103856249194394
638280,H600,48441012300,0,25.369931990727903
638281,H600,48441012400,0,26.657982732894002
638283,H600,48441012500,0,25.334139977421682
638284,H600,48441012600,0,25.37162490943135
638285,H600,48441012700,0,27.677455341074264
638286,H600,48441013000,0,26.99587774600682
638287,H600,48441013100,0,22.757729539157648
