,HC_ID,GEOID,dist,trvl_time
297679,H229,48251130208,0,-999.0
297680,H229,48251131000,0,-999.0
297681,H229,48251131100,0,-999.0
297682,H229,48251130409,0,-999.0
297683,H229,48251130800,0,-999.0
297684,H229,48439110703,0,-999.0
297685,H229,48307950300,0,-999.0
297686,H229,48307950400,0,-999.0
297687,H229,48307950500,0,-999.0
297688,H229,48439111102,0,-999.0
297689,H229,48439111202,0,-999.0
297690,H229,48439106001,0,-999.0
297691,H229,48439106002,0,-999.0
297692,H229,48439106101,0,-999.0
297693,H229,48439106102,0,-999.0
297694,H229,48139060900,0,-999.0
297695,H229,48139061000,0,-999.0
297696,H229,48251130215,0,-999.0
297699,H229,48497150402,0,-999.0
297700,H229,48497150601,0,-999.0
297701,H229,48497150401,0,-999.0
297702,H229,48497150403,0,-999.0
297703,H229,48367140706,0,-999.0
297704,H229,48367140408,0,-999.0
297705,H229,48367140102,0,-999.0
297706,H229,48367140409,0,-999.0
297707,H229,48367140703,0,-999.0
297708,H229,48367140101,0,-999.0
297709,H229,48099010601,0,-999.0
297710,H229,48099010702,0,-999.0
297711,H229,48251130205,0,-999.0
297717,H229,48217960400,0,-999.0
297718,H229,48217960600,0,-999.0
297719,H229,48217960500,0,-999.0
297720,H229,48217960800,0,-999.0
297721,H229,48217961000,0,-999.0
297722,H229,48217960700,0,-999.0
297723,H229,48217960100,0,-999.0
297724,H229,48217960900,0,-999.0
297725,H229,48217960200,0,-999.0
297726,H229,48217961100,0,-999.0
297727,H229,48439103701,0,-999.0
297728,H229,48439103800,0,-999.0
297729,H229,48309002000,0,-999.0
297730,H229,48309000598,0,-999.0
297731,H229,48399950500,0,-999.0
297732,H229,48399950600,0,-999.0
297733,H229,48399950100,0,-999.0
297734,H229,48399950200,0,-999.0
297735,H229,48027980003,0,-999.0
297736,H229,48027023403,0,-999.0
297737,H229,48027023404,0,-999.0
297738,H229,48027021903,0,-999.0
297739,H229,48027023204,0,-999.0
297740,H229,48027980002,0,-999.0
297741,H229,48281950301,0,-999.0
297742,H229,48267950100,0,-999.0
297746,H229,48439106600,0,-999.0
297747,H229,48151950300,0,-999.0
297748,H229,48053960600,0,-999.0
297749,H229,48053960700,0,-999.0
297750,H229,48053960200,0,-999.0
297751,H229,48053960300,0,-999.0
297752,H229,48053960500,0,-999.0
297753,H229,48053960100,0,-999.0
297754,H229,48053960400,0,-999.0
297755,H229,48053960800,0,-999.0
297756,H229,48441013300,0,-999.0
297757,H229,48441013402,0,-999.0
297758,H229,48441013500,0,-999.0
