"B01003_001E","B01003_001M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","id","Geographic Area Name"
"1728","308","1400000US48027020702","Census Tract 207.02, Bell County, Texas"
"2897","475","1400000US48027020800","Census Tract 208, Bell County, Texas"
"2887","471","1400000US48027020900","Census Tract 209, Bell County, Texas"
"4237","467","1400000US48027021000","Census Tract 210, Bell County, Texas"
"5747","648","1400000US48027021100","Census Tract 211, Bell County, Texas"
"3344","447","1400000US48027021201","Census Tract 212.01, Bell County, Texas"
"4101","381","1400000US48027021202","Census Tract 212.02, Bell County, Texas"
"4556","421","1400000US48027021203","Census Tract 212.03, Bell County, Texas"
"5143","490","1400000US48027021301","Census Tract 213.01, Bell County, Texas"
"2975","203","1400000US48027021302","Census Tract 213.02, Bell County, Texas"
"10237","794","1400000US48027021303","Census Tract 213.03, Bell County, Texas"
"4350","387","1400000US48027021400","Census Tract 214, Bell County, Texas"
"7386","644","1400000US48027021500","Census Tract 215, Bell County, Texas"
"5589","553","1400000US48027021601","Census Tract 216.01, Bell County, Texas"
"2881","397","1400000US48027021602","Census Tract 216.02, Bell County, Texas"
"8754","827","1400000US48027021700","Census Tract 217, Bell County, Texas"
"9390","804","1400000US48027021800","Census Tract 218, Bell County, Texas"
"3535","477","1400000US48027021901","Census Tract 219.01, Bell County, Texas"
"9104","680","1400000US48027021903","Census Tract 219.03, Bell County, Texas"
"12109","773","1400000US48027021904","Census Tract 219.04, Bell County, Texas"
"8180","727","1400000US48027022000","Census Tract 220, Bell County, Texas"
"4297","401","1400000US48027022101","Census Tract 221.01, Bell County, Texas"
"5648","575","1400000US48027022103","Census Tract 221.03, Bell County, Texas"
"4196","436","1400000US48027022104","Census Tract 221.04, Bell County, Texas"
"2101","206","1400000US48027022105","Census Tract 221.05, Bell County, Texas"
"3604","356","1400000US48027022200","Census Tract 222, Bell County, Texas"
"3775","492","1400000US48027022300","Census Tract 223, Bell County, Texas"
"5866","529","1400000US48027022401","Census Tract 224.01, Bell County, Texas"
"7930","588","1400000US48027022402","Census Tract 224.02, Bell County, Texas"
"4568","375","1400000US48027022403","Census Tract 224.03, Bell County, Texas"
"7439","651","1400000US48027022404","Census Tract 224.04, Bell County, Texas"
"2101","233","1400000US48027022405","Census Tract 224.05, Bell County, Texas"
"3026","327","1400000US48027022501","Census Tract 225.01, Bell County, Texas"
"12231","934","1400000US48027022502","Census Tract 225.02, Bell County, Texas"
"4251","579","1400000US48027022600","Census Tract 226, Bell County, Texas"
"2424","296","1400000US48027022801","Census Tract 228.01, Bell County, Texas"
"3555","443","1400000US48027022900","Census Tract 229, Bell County, Texas"
"10026","938","1400000US48027023000","Census Tract 230, Bell County, Texas"
"4603","359","1400000US48027023103","Census Tract 231.03, Bell County, Texas"
"3181","354","1400000US48027023104","Census Tract 231.04, Bell County, Texas"
"15983","1189","1400000US48027023105","Census Tract 231.05, Bell County, Texas"
"8719","932","1400000US48027023106","Census Tract 231.06, Bell County, Texas"
"6917","879","1400000US48027023107","Census Tract 231.07, Bell County, Texas"
"15257","1357","1400000US48027023108","Census Tract 231.08, Bell County, Texas"
"1301","195","1400000US48027023201","Census Tract 232.01, Bell County, Texas"
"4665","609","1400000US48027023202","Census Tract 232.02, Bell County, Texas"
"1160","271","1400000US48027023203","Census Tract 232.03, Bell County, Texas"
"4724","1284","1400000US48027023204","Census Tract 232.04, Bell County, Texas"
"8544","725","1400000US48027023300","Census Tract 233, Bell County, Texas"
"5479","410","1400000US48027023402","Census Tract 234.02, Bell County, Texas"
"7023","486","1400000US48027023403","Census Tract 234.03, Bell County, Texas"
"4090","347","1400000US48027023404","Census Tract 234.04, Bell County, Texas"
"2088","289","1400000US48027023500","Census Tract 235, Bell County, Texas"
"80","22","1400000US48027980001","Census Tract 9800.01, Bell County, Texas"
"0","14","1400000US48027980002","Census Tract 9800.02, Bell County, Texas"
"0","14","1400000US48027980003","Census Tract 9800.03, Bell County, Texas"
"3160","406","1400000US48029110100","Census Tract 1101, Bexar County, Texas"
"2977","300","1400000US48029110300","Census Tract 1103, Bexar County, Texas"
"2507","271","1400000US48029110500","Census Tract 1105, Bexar County, Texas"
"5293","423","1400000US48029110600","Census Tract 1106, Bexar County, Texas"
"1171","202","1400000US48029110700","Census Tract 1107, Bexar County, Texas"
"2024","340","1400000US48029110800","Census Tract 1108, Bexar County, Texas"
"1669","229","1400000US48029110900","Census Tract 1109, Bexar County, Texas"
"2948","371","1400000US48029111000","Census Tract 1110, Bexar County, Texas"
"4844","562","1400000US48029120100","Census Tract 1201, Bexar County, Texas"
"8374","29","1400000US48029120300","Census Tract 1203, Bexar County, Texas"
"6326","257","1400000US48029120400","Census Tract 1204, Bexar County, Texas"
"9985","966","1400000US48029120501","Census Tract 1205.01, Bexar County, Texas"
"5327","633","1400000US48029120502","Census Tract 1205.02, Bexar County, Texas"
"5850","519","1400000US48029120600","Census Tract 1206, Bexar County, Texas"
"6416","657","1400000US48029120701","Census Tract 1207.01, Bexar County, Texas"
"4614","516","1400000US48029120702","Census Tract 1207.02, Bexar County, Texas"
"6934","510","1400000US48029120800","Census Tract 1208, Bexar County, Texas"
"2457","294","1400000US48029120901","Census Tract 1209.01, Bexar County, Texas"
"7551","654","1400000US48029120902","Census Tract 1209.02, Bexar County, Texas"
"7798","946","1400000US48029121000","Census Tract 1210, Bexar County, Texas"
"8109","793","1400000US48029121108","Census Tract 1211.08, Bexar County, Texas"
"5188","530","1400000US48029121110","Census Tract 1211.10, Bexar County, Texas"
"6917","816","1400000US48029121111","Census Tract 1211.11, Bexar County, Texas"
"3717","493","1400000US48029121112","Census Tract 1211.12, Bexar County, Texas"
"5755","528","1400000US48029121115","Census Tract 1211.15, Bexar County, Texas"
"5399","518","1400000US48029121116","Census Tract 1211.16, Bexar County, Texas"
"4623","417","1400000US48029121117","Census Tract 1211.17, Bexar County, Texas"
"6263","674","1400000US48029121118","Census Tract 1211.18, Bexar County, Texas"
"6176","558","1400000US48029121119","Census Tract 1211.19, Bexar County, Texas"
"5183","530","1400000US48029121120","Census Tract 1211.20, Bexar County, Texas"
"2908","277","1400000US48029121121","Census Tract 1211.21, Bexar County, Texas"
"6009","398","1400000US48029121122","Census Tract 1211.22, Bexar County, Texas"
"4727","592","1400000US48029121203","Census Tract 1212.03, Bexar County, Texas"
"7789","828","1400000US48029121204","Census Tract 1212.04, Bexar County, Texas"
"4627","544","1400000US48029121205","Census Tract 1212.05, Bexar County, Texas"
"8742","629","1400000US48029121206","Census Tract 1212.06, Bexar County, Texas"
"6588","722","1400000US48029121300","Census Tract 1213, Bexar County, Texas"
"7500","930","1400000US48029121402","Census Tract 1214.02, Bexar County, Texas"
"6281","649","1400000US48029121403","Census Tract 1214.03, Bexar County, Texas"
"5548","493","1400000US48029121404","Census Tract 1214.04, Bexar County, Texas"
"10037","1027","1400000US48029121501","Census Tract 1215.01, Bexar County, Texas"
"6553","711","1400000US48029121504","Census Tract 1215.04, Bexar County, Texas"
"4858","494","1400000US48029121505","Census Tract 1215.05, Bexar County, Texas"
"4004","393","1400000US48029121506","Census Tract 1215.06, Bexar County, Texas"
"4531","382","1400000US48029121507","Census Tract 1215.07, Bexar County, Texas"
"4563","600","1400000US48029121508","Census Tract 1215.08, Bexar County, Texas"
"5657","557","1400000US48029121601","Census Tract 1216.01, Bexar County, Texas"
"9259","938","1400000US48029121604","Census Tract 1216.04, Bexar County, Texas"
"2027","266","1400000US48029121605","Census Tract 1216.05, Bexar County, Texas"
"5015","475","1400000US48029121606","Census Tract 1216.06, Bexar County, Texas"
"4679","498","1400000US48029121701","Census Tract 1217.01, Bexar County, Texas"
"7880","826","1400000US48029121702","Census Tract 1217.02, Bexar County, Texas"
"8497","958","1400000US48029121802","Census Tract 1218.02, Bexar County, Texas"
"4994","359","1400000US48029121803","Census Tract 1218.03, Bexar County, Texas"
"7217","979","1400000US48029121804","Census Tract 1218.04, Bexar County, Texas"
"3343","379","1400000US48029121808","Census Tract 1218.08, Bexar County, Texas"
"5117","404","1400000US48029121809","Census Tract 1218.09, Bexar County, Texas"
"4891","311","1400000US48029121810","Census Tract 1218.10, Bexar County, Texas"
"5616","336","1400000US48029121811","Census Tract 1218.11, Bexar County, Texas"
"6881","815","1400000US48029121812","Census Tract 1218.12, Bexar County, Texas"
"1738","189","1400000US48029121813","Census Tract 1218.13, Bexar County, Texas"
