HC_ID,12/07/2020
H000,8.11438573343185e-06
H001,0.0
H002,1.488773307200659e-05
H003,0.0
H004,0.0
H005,2.5236599843370772e-05
H006,7.442174008263043e-06
H007,0.0
H008,0.0
H009,0.0
H010,1.3102655675357884e-05
H011,2.0010145310026097e-05
H012,5.68077932315311e-05
H013,1.4256243056877698e-05
H014,4.7606720687326936e-06
H015,2.1036882770704067e-05
H016,0.0
H017,6.763002943377424e-05
H018,7.162764515283446e-06
H019,6.5550568166781365e-06
H020,4.162269754880831e-05
H021,3.558410000610512e-05
H022,1.667342737278895e-05
H023,9.956953814932628e-05
H024,0.0
H025,1.724946900364493e-05
H026,9.397172083645404e-05
H027,3.876618693805057e-06
H028,5.749823001214976e-06
H029,7.64984139498084e-06
H030,2.2714186546301267e-05
H031,0.0
H032,2.063602385308766e-05
H033,3.997038451062903e-05
H034,3.6723982857819946e-05
H035,0.0001126660886770816
H036,0.0
H037,6.750731081693954e-05
H038,6.047631546165172e-05
H039,6.047631546165172e-05
H040,3.1416395801528846e-05
H041,0.0002390650014731696
H042,0.0
H043,1.3073867268063963e-05
H044,2.7878931111622774e-05
H045,0.0
H046,0.0001346866301145915
H047,3.267093155371988e-05
H048,3.605758605709254e-05
H049,0.0
H050,2.2562260761732585e-05
H051,7.258321411828325e-06
H052,2.8061957300046164e-05
H053,0.0
H054,7.05184161421619e-05
H055,0.0
H056,7.112316625786947e-05
H057,0.0
H058,3.1924071230014995e-06
H059,2.840670582001852e-05
H060,1.2769628492005998e-05
H061,9.328359834416266e-05
H062,7.026453947490817e-06
H063,2.1890593261327134e-05
H064,0.0
H065,2.0859599541561675e-05
H066,2.8280977612878566e-05
H067,9.756938412218813e-05
H068,1.9680498975135866e-05
H069,0.0
H070,0.0
H071,3.654305469917984e-05
H072,4.755623461153167e-05
H073,1.2058462446359915e-05
H074,5.750537057342792e-05
H075,0.00011501074114685584
H076,2.264897176207421e-06
H077,0.0
H078,0.0
H079,9.4902643007615e-05
H080,2.144652359750237e-06
H081,0.0
H082,5.760400619860329e-05
H083,3.351870567920307e-05
H084,6.495922564321638e-06
H085,0.0
H086,5.773442446115872e-05
H087,4.294084395571429e-05
H088,0.0
H089,2.609612324097757e-06
H090,0.0008704778334826658
H091,2.8176137975160247e-05
H092,0.00012726515183586386
H093,0.0
H094,0.0
H095,0.00012137729610091022
H096,0.0
H097,1.956773133471014e-05
H098,3.359403908350238e-06
H099,4.3978917342605406e-05
H100,0.00017786910458417185
H101,3.627495015071841e-05
H102,4.320455356843291e-05
H103,4.2632410264440165e-05
H104,0.0
H105,0.0001487004069639577
H106,0.0
H107,0.0
H108,9.128039860690751e-05
H109,0.0008620232387900436
H110,0.003927812056070445
H111,0.0014440735372857599
H112,0.0008181625900524942
H113,0.0005873626907719431
H114,0.004155533978990043
H115,0.006023505423584365
H116,0.0
H117,0.0007590773151429525
H118,0.0
H119,0.0004551843134717885
H120,0.003004216468913804
H121,0.002275302405749902
H122,0.0
H123,0.0
H124,0.0019517171206333615
H125,0.000878382752897592
H126,0.008107173853729523
H127,0.0007481733627616578
H128,0.00456446125721475
H129,0.0003861757777266963
H130,0.00019380510674100643
H131,0.0
H132,0.000255705344918367
H133,0.008771477895126174
H134,0.003797395147645847
H135,0.0005084914721812275
H136,0.0002767798431623215
H137,0.0
H138,0.0010399566094840855
H139,0.001099792324572973
H140,0.0007713207564688306
H141,0.000559195016703536
H142,0.0
H143,0.0025309982315876597
H144,0.0014798974343987132
H145,0.0019466214538985714
H146,0.0012499654669889321
H147,0.005025911824728561
H148,0.007499792801933593
H149,0.0
H150,0.010643465470490113
H151,0.0022984047738223556
H152,0.006495983808685366
H153,0.0
H154,0.0044156112219599745
H155,0.002586469936858314
H156,0.0029523116665385674
H157,0.0
H158,3.111526340248394e-05
H159,0.0
H160,1.5976299715061682e-05
H161,3.53028869580673e-05
H162,9.107665470920926e-05
H163,4.0982248648704885e-06
H164,0.0
H165,8.088371685020494e-06
H166,8.092335417313514e-06
H167,2.2991282912564927e-05
H168,0.0
H169,0.0
H170,3.4341502662056905e-05
H171,7.697637055823998e-05
H172,8.88351861323572e-06
H173,2.1198220407175736e-06
H174,2.9816021764722837e-05
H175,4.154820822138767e-05
H176,7.956041589994928e-06
H177,9.91219540517681e-06
H178,5.389490962465217e-05
H179,7.903265952774067e-05
H180,1.1930985636363716e-05
H181,6.473728282515435e-06
H182,2.0506356272999373e-05
H183,0.00029775863194765693
H184,9.642192234715248e-05
H185,9.027786054689583e-05
H186,4.298945740328373e-06
H187,0.00015286725461057608
H188,0.0
H189,8.926667335500799e-05
H190,2.2948477745243198e-05
H191,9.017119386854928e-06
H192,0.0
H193,5.6812814992011805e-06
H194,0.00017664897144301805
H195,4.8518432296724824e-05
H196,0.0
H197,0.0
H198,0.0
H199,2.004087214456185e-05
H200,1.4498530623966882e-05
H201,3.9423429957394834e-05
H202,2.9821912621955086e-05
H203,0.0
H204,8.253637107735896e-06
H205,4.586490068021315e-05
H206,4.880860613515318e-05
H207,0.0001502605024788205
H208,0.000143049409203296
H209,0.0
H210,0.00012679189140031517
H211,0.0001483325165966179
H212,6.867167091264935e-05
H213,0.00011191696998037578
H214,0.0019960417968016503
H215,0.0
H216,0.002418342321685555
H217,0.0012144819474010544
H218,0.0
H219,0.0
H220,0.0015607406773085898
H221,0.0015104564015306905
H222,0.0015055773421614495
H223,0.0051807109437686065
H224,0.004647419692671856
H225,0.006403913887511968
H226,0.004088732483216028
H227,0.0002994997351409455
H228,8.866264016105885e-05
H229,0.00016138499328382608
H230,0.00018538055344099124
H231,0.0014770560566467338
H232,0.00034487508434274505
H233,0.00036327436969742916
H234,9.212724379742018e-05
H235,0.0
H236,0.006196228029983
H237,0.0
H238,0.0
H239,0.0008056842553474776
H240,0.0008380266812800628
H241,0.0008803449444296953
H242,0.005103949976464333
H243,0.0007021547199907955
H244,0.00021358414828100356
H245,2.781000666083664e-05
H246,0.0003377447618527266
H247,0.00010022476120128893
H248,0.0
H249,0.00027614366221221206
H250,0.0007802489498240523
H251,0.0
H252,0.0012348990221195092
H253,0.0004649966731217839
H254,0.0002030337668002587
H255,0.0
H256,0.0008257356818617087
H257,0.0
H258,0.0001459657824309487
H259,0.00019357791725856276
H260,0.0003599277644499311
H261,4.34604644563027e-05
H262,0.00018349808398437236
H263,0.0
H264,0.0001522597179508107
H265,0.0
H266,0.0003806079311153507
H267,0.0003669729890925813
H268,0.004690628899636613
H269,0.0042205819750486895
H270,0.036441260343380834
H271,0.000162253252102144
H272,0.010519823385609013
H273,0.02067654365493829
H274,0.0
H275,0.013332302749000819
H276,0.009763387819387662
H277,0.0730078698299525
H278,0.008391045725947205
H279,0.024191651003249822
H280,0.000148271426551449
H281,0.00010007804022845106
H282,8.756828519989469e-05
H283,0.0
H284,0.00020331378931049923
H285,8.73210059020897e-06
H286,0.0
H287,0.0003905773679749059
H288,0.0
H289,1.306939790909581e-05
H290,0.0009451251386465834
H291,0.000245896136626447
H292,0.0003705455492383556
H293,1.3235154739488902e-05
H294,5.9005282732140226e-05
H295,0.00019727315309733478
H296,0.0009690114710571907
H297,0.0016564360328907438
H298,5.832246653539207e-05
H299,9.906511655846449e-05
H300,0.00023971496732345352
H301,0.0
H302,2.6570484006392177e-05
H303,0.0
H304,0.00022090059996613412
H305,0.00017232294081767833
H306,0.0
H307,0.0
H308,0.00017579520222783858
H309,0.00025187016878326575
H310,0.00010140731752528848
H311,0.0
H312,1.2808711981968174e-05
H313,0.0010414757985397211
H314,0.0
H315,0.0
H316,0.0
H317,0.0001917912053352282
H318,0.00010302759692929134
H319,0.00031852435855309394
H320,0.0
H321,2.4687207241446436e-05
H322,0.0
H323,0.0
H324,0.00011109088253622037
H325,0.0002036619453598861
H326,0.0
H327,0.00030754516974981517
H328,0.00022237095545315691
H329,0.0
H330,0.0
H331,2.4138971924143345e-05
H332,0.00021241883403527143
H333,1.9363006311376905e-05
H334,1.8733081526507935e-05
H335,0.0
H336,0.00033601598087390554
H337,0.0
H338,0.0
H339,7.692681871861932e-05
H340,0.0003226240396260498
H341,5.1584564900362625e-05
H342,0.0002106803811880946
H343,3.518540619822425e-05
H344,0.0
H345,7.09652976752475e-05
H346,2.7335336503704945e-05
H347,0.00031985868392882765
H348,0.0
H349,0.0
H350,4.151570029046381e-05
H351,0.0009085809334619868
H352,0.00014790852405195136
H353,0.00023090163956889547
H354,0.0
H355,8.973382680990163e-05
H356,1.631936986141275e-05
H357,0.000576994262544513
H358,2.1889043040545256e-05
H359,0.0003602158952073747
H360,0.00045596240134239397
H361,0.00018679512712219275
H362,6.155738431850591e-05
H363,0.00010834829803658864
H364,0.0
H365,1.5308897872927568e-05
H366,0.0
H367,0.0005315766969623635
H368,0.0
H369,0.00019657733556727741
H370,1.090353231973392e-05
H371,3.1773393086458595e-05
H372,1.0149047537319994e-05
H373,4.469266188673675e-05
H374,0.0003643944217043044
H375,0.0022026254791896946
H376,1.786402457871639e-05
H377,0.00022202075330470206
H378,7.851593145291963e-05
H379,0.00012913679852136916
H380,0.0
H381,8.387068810201948e-06
H382,0.00014871155912914014
H383,0.00012943751965970252
H384,0.0
H385,0.00040643995949726775
H386,0.0
H387,0.0024590392946410525
H388,0.0038040579770876777
H389,0.00029938055579817953
H390,0.0004447160716206421
H391,0.000615391896378778
H392,0.000558212225569045
H393,0.0011888801669659465
H394,0.00012273723339997192
H395,0.0001370379578518739
H396,2.6138565423893527e-05
H397,3.324893195832734e-06
H398,4.775555922375428e-05
H399,0.00019848515764859994
H400,0.0004282098847796492
H401,0.0
H402,0.00020578166482533613
H403,0.0007019612844741702
H404,0.0
H405,0.0006356058897931001
H406,0.00014871967963340932
H407,0.0
H408,0.0009666779176171606
H409,0.0010710616721555984
H410,0.0
H411,0.00010622788259593
H412,0.0
H413,0.0003010232243405271
H414,0.00019872615386567113
H415,0.0031985739074134913
H416,0.0020057209553270157
H417,0.0015741733052785074
H418,0.001217146129428426
H419,0.0006008380216670297
H420,0.0006973743070592318
H421,0.0008916355455732456
H422,0.00027103945700102545
H423,0.017178825146104235
H424,0.024987382030697072
H425,0.003045509226014618
H426,0.015988923436576742
H427,0.0
H428,0.0031450475134848347
H429,0.012664103934995478
H430,0.005739149999884546
H431,0.007956466249338837
H432,0.005417287529431865
H433,0.01135309307631144
H434,0.00035880500006915813
H435,0.0
H436,0.0015854119627919947
H437,0.0
H438,0.000697258669567041
H439,0.00015202245495295137
H440,4.343498712941468e-05
H441,0.0
H442,0.000608060274062703
H443,0.0004437200202421724
H444,0.00518841090412742
H445,0.00015082971359015832
H446,0.0005726506079830998
H447,5.3174923331381835e-05
H448,0.00015812588187730063
H449,0.00041189873056043973
H450,0.000332833576887562
H451,8.19177550838352e-05
H452,0.0017670830025227305
H453,0.00030300116031020165
H454,0.0
H455,0.00010424240609192743
H456,0.000267185695591208
H457,1.2756890281818872e-05
H458,0.0028257368178954516
H459,0.0006206437025115973
H460,0.0
H461,0.0007975983474359796
H462,7.382364009238329e-05
H463,3.7387422536061546e-05
H464,4.1426084078039886e-05
H465,2.6262773475893493e-05
H466,0.00040011169222921116
H467,0.0
H468,0.00012969319024984892
H469,5.457999036952626e-05
H470,5.375058108632067e-05
H471,0.0
H472,0.0
H473,8.697541253134193e-05
H474,7.191042579961826e-05
H475,0.0
H476,0.0003946250164650854
H477,7.144497911524263e-05
H478,0.0
H479,1.4537083621926546e-05
H480,0.003185930460677268
H481,0.004749996783840987
H482,0.0018175851113275978
H483,0.00029388391339013826
H484,0.007382799062395613
H485,0.0008518614302764169
H486,0.0027983852119306046
H487,0.004538984349644926
H488,0.0008857887483111177
H489,0.0005905123142550241
H490,0.0006469183626663421
H491,0.0032430344492197652
H492,0.006973228068951255
H493,0.00017279627623490378
H494,0.004807068573412998
H495,0.0019502613732081992
H496,0.0003319312037283987
H497,0.0033006168343011006
H498,0.0017410578475383174
H499,0.004509810556174513
H500,0.0028995086556793514
H501,0.00033236772214881885
H502,0.0
H503,0.0020331696318209446
H504,0.0010165848159104723
H505,0.005890776699636056
H506,0.0
H507,0.00234262487461659
H508,0.0
H509,0.00011319544634888163
H510,0.0009801381437206655
H511,0.0010488253151513076
H512,0.0
H513,0.0
H514,0.0
H515,0.0003108126747350735
H516,0.0001725779141409554
H517,0.00041319572558083764
H518,0.0009687455194322725
H519,0.002660027071289812
H520,0.0014361082746099586
H521,0.003520808525562078
H522,0.00025370954391143555
H523,0.00038454925262679766
H524,8.696505446511528e-05
H525,0.0014716066484188987
H526,0.0
H527,0.0
H528,0.0008184433103138331
H529,0.0017205752013228067
H530,0.002081615097934923
H531,0.0
H532,0.0019303917805851385
H533,0.0
H534,2.464554896883991e-05
H535,3.635029654594447e-05
H536,0.0
H537,0.0
H538,0.0009111017313753598
H539,0.00021196453443827522
H540,0.0
H541,0.00011941502107614047
H542,0.00014061410888912813
H543,0.0
H544,0.0
H545,0.0
H546,0.00046004577782745367
H547,0.0005965640915134062
H548,0.00039740117440703875
