HC_ID,10/22/2020
H000,0.00030133360875017834
H001,0.0
H002,0.0005202879971232399
H003,0.0
H004,0.0
H005,0.0008687699628670383
H006,0.00026096064951292394
H007,0.0
H008,0.0
H009,0.0
H010,0.0004615467033236695
H011,0.0007194868482618386
H012,0.0021359365303199986
H013,0.0005359393651141797
H014,0.00017912722489588483
H015,0.0007906917577247164
H016,0.0
H017,0.0024375849742016035
H018,0.0002610482993566352
H019,0.00023759725039169933
H020,0.001555664157417501
H021,0.0012879163656566719
H022,0.0006074798556888394
H023,0.0037065778634356485
H024,0.0
H025,0.0006421644378947807
H026,0.003496505850187862
H027,0.00014389400623546328
H028,0.00021405481263159362
H029,0.00028424742103758295
H030,0.0008228264431161944
H031,0.0
H032,0.000737751415036317
H033,0.0014361169127813356
H034,0.0013218455364136076
H035,0.004056362137416653
H036,0.0
H037,0.002377000531734573
H038,0.002253799017762021
H039,0.002253799017762021
H040,0.0011446345814788796
H041,0.008720985165494157
H042,0.0
H043,0.0004769288762379617
H044,0.000990269281960429
H045,0.0
H046,0.0048279077368465345
H047,0.0012027767200587815
H048,0.0013138934653598507
H049,0.0
H050,0.0007883336302952342
H051,0.0002653562237091679
H052,0.0010044878475539802
H053,0.0
H054,0.0026031530351179706
H055,0.0
H056,0.002489530445076816
H057,0.0
H058,0.00011420349782021497
H059,0.0010164008558199093
H060,0.0004568139912808599
H061,0.0033342436596262843
H062,0.00023521566459967178
H063,0.0008069645509654162
H064,0.0
H065,0.0007917480712521161
H066,0.0010547226019877601
H067,0.003631327768080302
H068,0.0007294659441888987
H069,0.0
H070,0.0
H071,0.001365129525136317
H072,0.0017962541851533986
H073,0.00045452002610706375
H074,0.002178999697761419
H075,0.004357999395522838
H076,8.419075229228643e-05
H077,0.0
H078,0.0
H079,0.0035600587072500025
H080,8.042305010928372e-05
H081,0.0
H082,0.0021853021855455144
H083,0.0012483774373302989
H084,0.0002420180779937914
H085,0.0
H086,0.002147143304275122
H087,0.0016015646892352186
H088,0.0
H089,9.929139813391189e-05
H090,0.028684206985292983
H091,0.0009490624768733924
H092,0.004265410414429596
H093,0.0
H094,0.0
H095,0.004194969314826871
H096,0.0
H097,0.000749806112633104
H098,0.0001288236039599971
H099,0.0016891110471947883
H100,0.0072494793559478785
H101,0.0013142953978506752
H102,0.0015492858630808382
H103,0.0016171541346478564
H104,0.0
H105,0.00617962010322554
H106,0.0
H107,0.0
H108,0.0029752685661437557
H109,0.028483290104023142
H110,0.15627685268063873
H111,0.04266531521305991
H112,0.010324975936958181
H113,0.00900430998248395
H114,0.05925665351449393
H115,0.08631537028515421
H116,0.0
